,vec0,vec1,vec2,vec3,vec4,vec5,vec6,vec7,vec8,vec9,vec10,vec11,vec12,vec13,vec14,vec15,vec16,vec17,vec18,vec19
88,-0.349376,0.069100,0.130256,-0.150688,0.299683,0.192316,-0.009583,-0.187076,0.226543,0.433455,0.369434,-0.340984,-0.061186,0.039270,-0.015939,-0.036737,0.316825,0.486806,-0.012373,-0.002760
89,-0.391538,0.054967,0.174376,0.066089,0.268283,0.275196,-0.085140,-0.297033,0.395263,0.429267,0.399251,-0.320281,0.013740,0.109715,0.038628,-0.056773,0.260658,0.486681,-0.068220,0.062846
90,-0.280498,0.181859,0.288014,-0.007015,0.389777,-0.009145,-0.022311,-0.167486,0.307502,0.376810,0.642247,-0.135132,-0.108730,0.174971,0.036174,-0.018104,0.174775,0.745958,-0.086208,0.001827
91,-0.466911,0.025395,0.274484,0.037885,0.490791,0.231660,-0.121851,-0.461212,0.528419,0.937810,0.630435,-0.403822,0.085793,0.148260,0.078340,-0.061940,0.357656,0.572175,-0.061794,0.149568
92,-0.354454,-0.041437,0.194338,0.004645,0.425253,0.195209,-0.083584,-0.398381,0.462515,0.844309,0.503233,-0.366334,0.037895,0.199208,0.015473,0.092377,0.323265,0.557156,-0.225324,0.124960
93,-0.408986,-0.006441,0.274760,-0.107349,0.451238,0.194949,-0.026757,-0.426750,0.477902,0.865854,0.669199,-0.393879,0.018414,0.117832,-0.024548,0.055900,0.386476,0.636328,-0.163196,0.163830
94,-0.383770,-0.003187,0.369191,0.057644,0.486464,0.283998,0.005309,-0.492693,0.659140,0.874601,0.715285,-0.264892,0.129563,0.195804,0.019704,0.118891,0.287499,0.625406,-0.157272,0.033214
95,-0.206691,0.036990,0.198740,-0.162635,0.223962,0.072099,0.010651,-0.096742,0.068075,0.299336,0.333775,-0.228112,-0.047682,0.073277,0.043167,0.002651,0.105637,0.370049,-0.013223,0.024829
96,-0.431315,-0.008350,0.357062,-0.077284,0.415561,0.187417,0.049403,-0.358427,0.477655,0.768648,0.561114,-0.336126,-0.039959,0.127100,0.033449,0.044539,0.292129,0.625807,-0.021121,0.162177
97,-0.466672,0.009147,0.219071,-0.084116,0.369939,0.184681,0.021994,-0.423672,0.301219,0.755078,0.596793,-0.385046,0.023766,-0.005910,0.002634,0.036680,0.430586,0.584990,-0.077368,0.072294
98,-0.228878,0.062491,0.319956,-0.091158,0.328688,0.068751,-0.064787,-0.224617,0.261437,0.525270,0.594567,-0.280534,-0.079294,0.133845,0.075289,0.014905,0.099061,0.647123,-0.130386,0.132106
99,-0.284800,-0.023592,0.129755,-0.477446,0.208921,0.061901,0.058774,-0.187354,0.171831,0.536040,0.597770,-0.447415,-0.040844,0.037451,-0.112209,0.152076,0.384079,0.448127,0.016863,0.075837
100,-0.285665,0.032261,0.214666,-0.249324,0.318826,0.039807,-0.063356,-0.192186,0.202324,0.588177,0.482532,-0.303021,0.036357,0.080689,-0.022396,0.057566,0.161992,0.481148,-0.041204,0.145701
101,-0.116807,0.046089,0.101561,0.059939,0.134591,0.132093,-0.152631,-0.183103,0.309048,0.316171,0.243941,-0.113011,0.085466,0.192325,0.088507,0.007472,0.018671,0.279698,-0.197445,0.129428
102,-0.329346,0.157532,0.382297,0.027152,0.289943,0.306944,-0.108488,-0.418525,0.351848,0.657462,0.676270,-0.480067,0.047404,0.135198,-0.004176,-0.160169,0.101947,0.510939,-0.184613,-0.027219
103,-0.316334,-0.012356,0.231013,-0.161142,0.344519,0.119982,-0.014110,-0.290102,0.332921,0.641224,0.577899,-0.321994,-0.014162,0.110587,-0.006074,0.057300,0.261076,0.493208,-0.082789,0.142821
104,-0.483545,0.052233,0.302551,-0.329804,0.405708,0.127870,0.055461,-0.441402,0.374121,0.888112,0.812448,-0.505535,-0.084426,0.050393,-0.074654,0.106715,0.490091,0.689484,-0.073843,0.112193
105,-0.361040,-0.012316,0.288300,-0.492825,0.218733,-0.061919,0.159840,-0.118860,0.079907,0.539207,0.626136,-0.508690,-0.135429,-0.053442,-0.111312,0.093127,0.392340,0.441711,0.229411,0.085646
106,-0.549920,0.135693,0.419025,0.077306,0.501833,0.390221,-0.058460,-0.553794,0.549840,0.983892,0.816890,-0.660123,0.112935,0.214746,0.050509,-0.235293,0.364214,0.719116,-0.213802,-0.030541
107,-0.268953,0.097159,0.376067,0.064669,0.224389,0.235060,-0.050450,-0.228479,0.376472,0.415750,0.362698,-0.306593,0.110726,0.088373,0.056462,-0.183663,-0.041257,0.327575,-0.045056,-0.024551
108,-0.249979,-0.006427,-0.018826,0.042607,0.332949,0.135274,0.035367,-0.365650,0.219152,0.442927,0.359288,-0.275349,-0.054053,-0.021694,-0.046291,-0.024719,0.366003,0.390321,-0.079478,0.047644
109,-0.351674,0.039886,0.234147,0.016691,0.353984,0.098928,-0.094727,-0.337837,0.243691,0.550250,0.429719,-0.327385,0.102749,0.117290,0.114849,-0.036500,0.250969,0.398181,-0.070666,0.039708
110,-0.348374,-0.033960,0.154336,0.021172,0.304234,0.257894,-0.061646,-0.338941,0.384399,0.590391,0.505935,-0.249980,0.064919,0.104582,-0.034830,0.061089,0.314484,0.479816,-0.139344,0.158864
111,-0.256965,0.067423,0.185185,0.123181,0.307470,0.195517,-0.059527,-0.300361,0.388569,0.542582,0.383075,-0.203082,0.014881,-0.028620,-0.060431,0.041035,0.261980,0.427557,-0.105460,0.099225
112,-0.343110,-0.031059,0.045754,0.254566,0.212719,0.049959,-0.203952,-0.406158,0.258367,0.589163,0.217037,-0.240372,0.196134,0.029717,0.135600,-0.057291,0.137409,0.333820,-0.182165,0.195346
113,-0.296757,0.005990,0.258296,-0.217101,0.255649,0.116302,-0.056693,-0.280680,0.284636,0.684521,0.554854,-0.257528,-0.077485,0.046394,-0.019166,0.083482,0.245332,0.456275,-0.208197,0.082321
114,-0.269259,0.152574,0.148433,-0.199894,0.129223,0.039108,-0.069595,-0.101650,0.092028,0.310909,0.363901,-0.157289,-0.105204,-0.107552,-0.078487,0.056726,0.266931,0.403887,-0.106524,-0.018290
115,-0.336691,0.020513,0.158620,-0.419278,0.321018,-0.009900,0.061530,-0.071174,0.103248,0.430926,0.502414,-0.254624,-0.086091,-0.046079,-0.126449,0.084428,0.295039,0.297840,0.100997,0.040385
116,-0.464258,0.128050,0.224341,-0.177407,0.447082,0.232693,-0.090306,-0.327482,0.427338,0.740146,0.730907,-0.366175,-0.091390,0.075330,-0.084360,-0.055045,0.454267,0.594623,0.068495,-0.065032
117,-0.486370,0.001042,0.126097,0.071631,0.423857,0.186806,-0.036139,-0.593989,0.478950,0.715502,0.530398,-0.407358,0.070504,0.128353,-0.075792,0.012422,0.506782,0.581584,-0.156941,0.146934
118,-0.431196,0.015998,0.145796,0.040930,0.425478,0.167847,-0.027501,-0.434733,0.505860,0.718237,0.563563,-0.296636,0.027905,0.062196,-0.022852,0.038640,0.351156,0.593328,-0.112326,0.101013
119,-0.240701,0.098212,0.168539,0.008037,0.209421,0.011411,-0.135282,-0.243529,0.248288,0.541658,0.393464,-0.128626,0.008777,0.113266,-0.037477,0.016326,0.223796,0.496015,-0.189354,0.052495
120,-0.403487,-0.022068,0.212875,-0.042402,0.569160,0.197354,0.061771,0.108466,0.620084,0.215290,0.138840,0.182461,-0.189565,-0.148209,0.122681,0.119897,0.103479,0.801684,0.063082,-0.008044
121,-0.437671,0.010827,0.098407,-0.159357,0.482447,0.233924,0.123548,0.043749,0.614569,0.111542,0.044834,0.137602,-0.124323,-0.284271,0.015232,0.037353,0.231793,0.618111,0.162002,-0.132040
122,-0.291979,0.062108,0.290377,-0.202175,0.296930,0.119965,0.003353,-0.209260,0.154637,0.496768,0.484302,-0.358063,-0.061037,0.131473,0.046478,0.024357,0.214280,0.489260,-0.015780,0.032692
